AimoScore,No_1_Angle_Deviation,No_2_Angle_Deviation,No_3_Angle_Deviation,No_4_Angle_Deviation,No_5_Angle_Deviation,No_6_Angle_Deviation,No_7_Angle_Deviation,No_8_Angle_Deviation,No_9_Angle_Deviation,No_10_Angle_Deviation,No_11_Angle_Deviation,No_12_Angle_Deviation,No_13_Angle_Deviation,No_1_NASM_Deviation,No_2_NASM_Deviation,No_3_NASM_Deviation,No_4_NASM_Deviation,No_5_NASM_Deviation,No_6_NASM_Deviation,No_7_NASM_Deviation,No_8_NASM_Deviation,No_9_NASM_Deviation,No_10_NASM_Deviation,No_11_NASM_Deviation,No_12_NASM_Deviation,No_13_NASM_Deviation,No_14_NASM_Deviation,No_15_NASM_Deviation,No_16_NASM_Deviation,No_17_NASM_Deviation,No_18_NASM_Deviation,No_19_NASM_Deviation,No_20_NASM_Deviation,No_21_NASM_Deviation,No_22_NASM_Deviation,No_23_NASM_Deviation,No_24_NASM_Deviation,No_25_NASM_Deviation,No_1_Time_Deviation,No_2_Time_Deviation,EstimatedScore
"0,294504513","0,983261597","0,596843615","0,972262076",1,"0,977044476","0,838833094","0,798660928","0,521759923","0,156384505","0,448589192","0,972740316","0,220468675","0,400286944","0,977044476","0,798660928","0,983261597","0,448589192","0,400286944","0,945480631","0,683883309","0,820181731","0,840267814","0,879005261","0,306551889","0,321377331","0,544715447","0,192730751","0,459110473","0,284552846","0,99904352","0,918699187","0,736967958","0,656623625","0,916786227","0,552845528","0,648971784","0,779531325","0,308943089","0,450023912","0,472979436","0,973218556"
"0,253783005","0,930655189","0,817790531","0,891439503","0,857484457","0,177905308","0,140124342","0,194165471","0,952175992","0,929698709","0,546628407","0,635581062","0,677666188","0,49689144","0,177905308","0,194165471","0,930655189","0,546628407","0,49689144","0,739359158","0,989000478","0,736967958","0,642276423","0,7517934","0,524629364","0,548063128","0,899569584","0,75083692","0,807747489","0,390243902","0,878527021","0,441415591","0,670970827","0,656623625","0,642276423","0,552845528","0,648971784","0,578192253","0,308943089","0,631276901","0,678622669","0,655667145"
"0,762662062","0,897178384","0,912482066","0,346724055","0,446676231","0,321377331","0,222381636","0,194165471","0,846006695","0,447154472","0,210425634","0,635581062","0,583452893","0,178861789","0,321377331","0,194165471","0,897178384","0,210425634","0,178861789","0,471066475","0,660927786","0,842659015","0,862745098","0,607843137","0,306551889","0,321377331","0,544715447","0,135341942","0,459110473","0,284552846","0,378287901","0,441415591","0,670970827","0,656623625","0,642276423","0,552845528","0,648971784","0,578192253","0,308943089","0,489239598","0,452893352","0,175992348"
"0,500925108","0,780966045","0,286465806","0,637972262","0,592539455","0,199426112","0,698708752","0,194165471","0,912482066","0,958393113","0,337637494","0,929220469","0,56241033","0,2505978","0,199426112","0,194165471","0,780966045","0,337637494","0,2505978","0,471066475","0,253467241","0,339072214","0,245815399","0,286465806","0,306551889","0,321377331","0,958393113","0,62266858","0,495456719","0,705882353","0,7494022","0,441415591","0,670970827","0,656623625","0,723577236","0,552845528","0,831181253","0,578192253","0,308943089","0,233381157","0,232902917","0,145863223"
"0,662301071","0,279770445","0,891439503","0,852702056","0,820659971","0,300334768","0,831181253","0,194165471","0,521759923","0,288378766","0,210425634","0,635581062","0,096126255","0,178861789","0,300334768","0,194165471","0,279770445","0,210425634","0,178861789","0,471066475","0,960784314","0,793878527","0,853658537","0,761836442","0,731707317","0,721664275","0,544715447","0,092778575","0,459110473","0,284552846","0,378287901","0,973696796","0,945480631","0,656623625","0,642276423","0,552845528","0,648971784","0,68818747","0,308943089","0,148732664","0,151123864","0,56480153"
"0,640075912","0,428503109","0,225729316","0,930176949","0,3758967","0,447154472","0,154471545","0,653754185","0,521759923","0,667144907","0,406504065","0,635581062","0,5011956","0,347202296","0,447154472","0,653754185","0,428503109","0,406504065","0,347202296","0,479196557","0,246293639","0,417503587","0,322812052","0,799617408","0,524151124","0,334289813","0,640841703","0,735533238","0,87661406","0,353897657","0,378287901","0,441415591","0,670970827","0,656623625","0,642276423","0,807747489","0,829746533","0,835485414","0,74796748","0,62792922","0,531802965","0,301769488"
"0,744384831","0,655667145","0,646580583","0,432807269","0,491630799","0,384026781","0,238163558","0,349115256","0,596365375","0,950263032","0,558106169","0,635581062","0,805834529","0,445719751","0,384026781","0,349115256","0,655667145","0,558106169","0,445719751","0,93974175","0,568627451","0,612625538","0,325203252","0,43472023","0,520803443","0,669536107","0,93591583","0,721664275","0,799139168","0,465327594","0,378287901","0,49689144","0,705404113","0,656623625","0,642276423","0,552845528","0,648971784","0,578192253","0,385461502","0,213295074","0,225729316","0,147297944"
"0,630201434","0,922525108","0,731229077","0,807269249","0,851745576","0,863223338","0,241989479","0,821138211","0,521759923","0,156384505","0,236250598","0,635581062","0,095169775","0,359158297","0,863223338","0,821138211","0,922525108","0,236250598","0,359158297","0,471066475","0,832615973","0,593495935","0,337637494","0,286465806","0,354854137","0,449067432","0,544715447","0,092778575","0,718316595","0,284552846","0,378287901","0,441415591","0,670970827","0,658536585","0,642276423","0,552845528","0,648971784","0,578192253","0,409851746","0,784791966","0,851267336","0,659014825"
"0,761024153","0,767575323","0,736489718","0,404112865","0,230989957","0,380200861","0,382113821","0,194165471","0,869918699","0,652319464","0,461501674","0,796747967","0,793400287","0,477283596","0,380200861","0,194165471","0,767575323","0,461501674","0,477283596","0,664275466","0,164992826","0,572453372","0,56097561","0,558106169","0,68914395","0,794835007","0,727403156","0,555236729","0,459110473","0,378766141","0,378287901","0,441415591","0,692969871","0,656623625","0,700621712","0,707317073","0,648971784","0,578192253","0,327116212","0,518412243","0,4988044","0,085604974"
"0,794520186","0,279770445","0,776183644","0,506456241","0,241511239","0,353419417","0,140124342","0,194165471","0,521759923","0,37446198","0,210425634","0,635581062","0,62697274","0,178861789","0,353419417","0,194165471","0,279770445","0,210425634","0,178861789","0,471066475","0,164992826","0,87374462","0,924438068","0,286465806","0,306551889","0,321377331","0,81205165","0,546628407","0,459110473","0,293639407","0,451458632","0,666666667","0,670970827","0,656623625","0,676231468","0,552845528","0,778096604","0,578192253","0,754662841","0,148732664","0,151123864","0,173601148"
